Satellite,Year,Slope,Intercept,R2
F10,1992,1.006066,1.083323,0.675763
F10,1993,1.210086,1.03096,0.688081
F10,1994,1.386476,0.979631,0.689676
F12,1994,0.799775,1.143061,0.741977
F12,1995,1.01567,1.050207,0.742276
F12,1996,1.024846,1.058276,0.75703
F12,1997,0.930509,1.075768,0.766494
F12,1998,0.845542,1.08702,0.776831
F12,1999,0.802647,1.09484,0.766136
F14,1997,1.369576,1.030716,0.777886
F14,1998,1.353715,1.015371,0.784551
F14,1999,1.303018,1.028458,0.804644
F14,2000,1.242471,1.021632,0.800659
F14,2001,1.167913,1.046418,0.829643
F14,2002,1.210582,1.020591,0.818402
F14,2003,1.192825,1.039927,0.847678
F15,2000,0.776776,1.122836,0.79156
F15,2001,0.801272,1.12581,0.815565
F15,2002,0.779456,1.127857,0.825999
F15,2003,1.361412,1.043559,0.852429
F15,2004,1.423717,1.031121,0.878752
F15,2005,1.427025,1.010644,0.871595
F15,2006,1.378352,1.028328,0.906316
F15,2007,1.349054,1.029308,0.876274
F16,2004,0.904589,1.133708,0.867066
F16,2005,1.171313,1.09368,0.908586
F16,2006,0.898528,1.142379,0.930083
F16,2007,0.799858,1.133339,0.886913
F16,2008,0.90593,1.092962,0.857682
F16,2009,0.910568,1.090485,0.840399
F18,2010,0.575715,1.107837,0.783436
F18,2011,0.815191,1.06436,0.782587
F18,2012,0.643421,1.111279,0.784045
F18,2013,0.684877,1.095344,0.764556
